"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bhutan","BTN","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","","","","","","","","","","","3.667","3.667","3.667","3.667","3.667","3.667","3.667","7.334","11.001","18.335","18.335","25.669","29.336","29.336","51.338","62.339","55.005","58.672","62.339","62.339","80.674","80.674","77.007","84.341","88.008","102.676","124.678","121.011","128.345","135.679","146.68","161.348","168.682","187.017","198.018","212.686","220.02","223.687","216.353","242.022","311.695","366.7","418.038","440.04","407.037","","","","","",
"Botswana","BWA","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","953.42","916.75","836.076","1272.449","1078.098","1070.764","1169.773","1100.1","1320.12","1565.809","1727.157","1844.501","1888.505","2024.184","1914.174","1954.511","2046.186","2295.542","2552.232","2181.865","2445.889","2592.569","2746.583","2885.929","3003.273","","","","","",
"Central African Republic","CAF","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","88.008","88.008","73.34","73.34","73.34","88.008","84.341","91.675","183.35","187.017","209.019","183.35","168.682","161.348","113.677","102.676","128.345","128.345","146.68","102.676","106.343","135.679","143.013","146.68","150.347","161.348","161.348","260.357","231.021","249.356","198.018","205.352","216.353","223.687","234.688","234.688","234.688","245.689","249.356","264.024","267.691","245.689","245.689","234.688","234.688","234.688","249.356","253.023","253.023","253.023","264.024","278.692","293.36","297.027","300.694","","","","","",
"Canada","CAN","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","115836.863","118759.462","126390.489","134380.882","143838.075","151872.472","155953.843","171630.268","179349.303","181677.848","211545.563","220507.711","233510.893","238369.668","249128.646","242183.348","233925.264","233892.261","234016.939","244493.558","241493.952","228094.734","208813.648","193969.632","192664.18","186811.648","186580.627","202029.698","211054.185","206811.466","205729.701","192418.491","197761.31","202385.397","201857.349","205616.024","207313.845","215179.56","224325.058","227731.701","231197.016","231684.727","224064.701","244863.925","252212.593","250280.084","238663.028","241097.916","258673.847","257826.77","255567.898","256198.622","240745.884","241471.95","248318.239","","","","","",
"Central Europe and the Baltics","CEB","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","53016.4083802716","57589.9754961942","65890.3737039704","73039.9264705822","81698.1004631763","91232.8251285744","98960.7820806419","110988.011380272","126062.297780601","143545.607798704","164427.787772578","181004.732469142","192709.963562436","214540.249366077","219566.999142769","233019.368651923","252512.185994754","274551.174339539","299130.370756532","294354.064029212","284878.968661284","260949.73158671","265606.779719091","263549.568956388","253388.736667558","254205.658042892","262070.76237914","272034.81798632","251522.339656758","252542.000643489","224158.455047932","190056.459825036","173914.809","189594.901","175711.639","181894.201","181245.142","179506.984","179510.651","169565.747","157149.285","169602.417","169316.391","170379.821","171615.6","174970.905","180900.444","182964.965","183606.69","173390.428","174043.154","170570.505","165290.025","155480.8","158025.698","","","","","",
"Switzerland","CHE","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","11129.345","12610.813","16043.125","19908.143","20835.894","23930.842","25804.679","27722.52","31437.191","33494.378","35661.575","37674.758","38565.839","41807.467","37080.704","35261.872","36739.673","36904.688","37938.782","35324.211","35144.528","32632.633","30454.435","33589.72","32309.937","32797.648","35412.219","33153.347","33641.058","31869.897","34917.174","35019.85","35452.556","33457.708","33901.415","31470.194","32082.583","34011.425","34150.771","32958.996","31081.492","34627.481","32621.632","31844.228","31752.553","32408.946","33091.008","29310.331","31341.849","32856.32","29295.663","28059.884","28345.91","30432.433","26512.41","","","","","",
"Channel Islands","CHI","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","6930.63","7223.99","8338.758","9101.494","9816.559","10190.593","11441.04","11496.045","12845.501","13344.213","14411.31","15295.057","16299.815","15434.403","14836.682","12889.505","13762.251","14095.948","14557.99","15434.403","15456.405","15764.433","14114.283","13611.904","13699.912","13256.205","14132.618","14627.663","16314.483","17935.297","18540.352","19130.739","20835.894","22838.076","24253.538","26857.108","29280.995","31077.825","31235.506","32181.592","30652.453","28488.923","30348.092","29611.025","31349.183","33853.744","35764.251","47263.963","47590.326","44968.421","43494.287","45665.151","45199.442","45951.177","46240.87","","","","","",
"China","CHN","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","23010.425","22354.032","21781.98","23289.117","27751.856","35027.184","44583.386","42533.533","48690.426","66904.415","94722.277","120189.592","138440.251","158949.782","182722.943","204358.243","239180.075","257694.758","282223.321","278655.33","273426.188","256583.657","258021.121","263987.33","271673.362","284826.891","303315.905","321786.584","343410.883","354730.912","330074.004","357213.471","390029.454","428899.654","424059.214","468613.264","511040.454","558418.094","559719.879","597240.623","649216.681","659839.98","653620.748","727694.148","839779.67","850868.678","899269.411","928110.366","970911.59","983152.036","1093466.397","1124778.91","1177675.385","1235632.32","1264106.575","","","","","",
"Cote d'Ivoire","CIV","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","462.042","553.717","586.72","623.39","762.736","1173.44","1239.446","1360.457","1598.812","1892.172","2244.204","2456.89","2713.58","2878.595","3245.295","3989.696","3964.027","4055.702","4818.438","5423.493","5573.84","3868.685","5559.172","4521.411","5137.467","6989.302","5581.174","7356.002","8811.801","8272.752","4785.435","4312.392","3846.683","5097.13","4136.376","6028.548","6483.256","5610.51","4950.45","3553.323","4048.368","4778.101","4286.723","2783.253","4352.729","4165.712","3681.668","3652.332","3556.99","2731.915","3028.942","3355.305","5082.462","5786.526","5966.209","","","","","",
