"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Burundi","BDI","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.667","3.667","7.334","7.334","14.668","18.335","18.335","14.668","18.335","25.669","18.335","18.335","14.668","14.668","18.335","18.335","18.335","18.335","18.335","18.335","18.335","7.334","7.334","11.001","11.001","7.334","7.334","7.334","14.668","11.001","14.668","14.668","18.335","11.001","29.336","22.002","14.668","","","","","",
"Belgium","BEL","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","67960.511","67043.761","68598.569","71341.485","65074.582","61887.959","58239.294","56919.174","58514.319","55932.751","49038.791","40439.676","42163.166","45276.449","48496.075","38510.834","41297.754","38862.866","43684.971","47142.952","47194.29","46248.204","45668.818","36662.666","42042.155","40744.037","36090.614","36482.983","33153.347","40098.645","38250.477","36182.289","33630.057","30439.767","32724.308","31382.186","30296.754","29189.32","29596.357","25837.682","29086.644","26651.756","23274.449","21906.658","21026.578","18657.696","17971.967","16046.792","16281.48","11316.362","13886.929","12915.174","11752.735","12068.097","11789.405","","","","","",
"Benin","BEN","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","187.017","","","","","",
"Burkina Faso","BFA","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Bangladesh","BGD","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","355.699","462.042","410.704","473.043","447.374","502.379","421.705","359.366","447.374","465.709","568.385","304.361","117.344","187.017","282.359","443.707","381.368","102.676","1070.764","341.031","322.696","121.011","99.009","1221.111","678.395","1228.445","352.032","176.016","1254.114","1331.121","1331.121","1367.791","1452.132","1606.146","1811.498","2211.201","2471.558","3017.941","3076.613","2838.258","3424.978","3751.341","3509.319","","","","","",
"Bulgaria","BGR","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","18639.361","21448.283","24748.583","26805.77","32144.922","33938.085","34774.161","37729.763","39328.575","41169.409","33153.347","32166.924","32834.318","33564.051","33164.348","34425.796","31741.552","31653.544","33919.75","35001.515","36603.994","37165.045","39141.558","39060.884","39181.895","41132.739","41037.397","41807.467","37938.782","38609.843","35932.933","29809.043","30260.084","32269.6","29471.679","29790.708","30007.061","30586.447","28760.281","25404.976","25170.288","28587.932","26120.041","28488.923","28239.567","26761.766","27007.455","30406.764","29618.359","24810.922","26710.428","32042.246","27425.493","23197.442","25012.607","","","","","",
"Bahrain","BHR","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","36.67","0","36.67","0","0","0","0","0","80.674","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Bahamas, The","BHS","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","3.667","0","14.668","11.001","0","0","0","0","0","0","66.006","36.67","0","0","0","0","0","0","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","7.334","7.334","7.334","7.334","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","","","","","",
"Bosnia and Herzegovina","BIH","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12596.145","10916.659","1177.107","1378.792","1998.515","6248.568","7964.724","7763.039","9717.55","9464.527","10461.951","10821.317","11100.009","11859.078","12907.84","12698.821","14587.326","15331.727","15885.444","18500.015","17249.568","17099.221","17374.246","","","","","",
"Belarus","BLR","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7880.383","6838.955","5929.539","5309.816","5056.793","4176.713","4063.036","3248.962","3512.986","2959.269","2640.24","2599.903","2302.876","2273.54","2299.209","2207.534","2035.185","2071.855","2273.54","2317.544","2944.601","3146.286","3256.296","","","","","",
