"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Austria","AUT","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","2922.599","3091.281","3241.628","3380.974","3523.987","3424.978","3674.334","3520.32","3747.674","4675.425","5676.516","6563.93","7088.311","7627.36","8280.086","8115.071","9270.176","9424.19","9809.225","9768.888","9292.178","8826.469","8551.444","8690.79","9728.551","10410.613","9255.508","9640.543","9237.173","10058.581","11873.746","12552.141","12324.787","12999.515","13369.882","14598.327","15540.746","14976.028","15375.731","15643.422","15082.371","15984.453","15955.117","17498.924","17814.286","18687.032","17546.595","16545.504","17484.256","16879.201","18602.691","17557.596","16780.192","16171.47","14759.675","","","","","",
"Azerbaijan","AZE","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22618.056","17297.239","16684.85","13318.544","11745.401","11070.673","10608.631","11697.73","11430.039","16589.508","16633.512","17066.218","18639.361","18547.686","20483.862","17594.266","20755.22","18804.376","17982.968","19039.064","19849.471","19933.812","21202.594","","","","","",
"Burundi","BDI","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Belgium","BEL","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","62.339","69.673","77.007","69.673","73.34","95.342","201.685","927.751","2394.551","4957.784","7843.713","10824.984","13608.237","16395.157","19167.409","18668.697","19930.145","19688.123","19519.441","21330.939","20406.855","18822.711","15537.079","16307.149","16827.863","16783.859","13494.56","15108.04","14913.689","16571.173","18709.034","20003.485","20725.884","21543.625","22152.347","24301.209","27062.46","25801.012","28569.597","30542.443","30619.45","30186.744","30641.452","32984.665","33369.7","33732.733","34359.79","34191.108","33985.756","34609.146","38917.871","32958.996","32903.991","32969.997","28855.623","","","","","",
"Benin","BEN","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Burkina Faso","BFA","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Bangladesh","BGD","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","715.065","1144.104","1382.459","964.421","1411.795","1580.477","1675.819","1917.841","2218.535","2442.222","3168.288","3523.987","4470.073","5089.796","5738.855","5933.206","7003.97","7422.008","7583.356","9064.824","9614.874","10399.612","11481.377","13039.852","13509.228","13274.54","14334.303","15628.754","16893.869","18918.053","19904.476","21407.946","23109.434","24744.916","28279.904","29603.691","32251.265","35470.891","39431.251","39658.605","41748.795","43413.613","45969.512","","","","","",
"Bulgaria","BGR","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","124.678","187.017","568.385","876.413","909.416","825.075","568.385","381.368","385.035","839.743","2225.869","3894.354","4968.785","5298.815","5669.182","7253.326","7898.718","8756.796","9207.837","9299.512","8958.481","9442.525","10791.981","12273.449","11030.336","11122.011","9515.865","8379.095","7832.712","7715.368","9446.192","10711.307","8474.437","7165.318","6153.226","6714.277","6274.237","5507.834","5727.854","5709.519","6420.917","6644.604","6893.96","6673.94","4950.45","5269.479","6024.881","5614.177","5493.166","5412.492","","","","","",
"Bahrain","BHR","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","95.342","95.342","95.342","113.677","113.677","517.047","594.054","671.061","979.089","2170.864","3076.613","3795.345","3993.363","4184.047","4543.413","4990.787","5397.824","5599.509","5650.847","6215.565","6563.93","6813.286","8247.083","9383.853","8995.151","9603.873","10010.91","10461.951","9944.904","9944.904","12519.138","12262.448","13054.52","13465.224","14502.985","15287.723","15841.44","16156.802","11958.087","12592.478","12984.847","13505.561","14304.967","15559.081","20883.565","22988.423","24194.866","24554.232","24304.876","24414.886","26200.715","28375.246","","","","","",
"Bahamas, The","BHS","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Bosnia and Herzegovina","BIH","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","788.405","267.691","322.696","282.359","473.043","282.359","322.696","330.03","458.375","300.694","282.359","370.367","583.053","693.063","729.733","770.07","762.736","436.373","458.375","520.714","480.377","374.034","348.365","","","","","",
"Belarus","BLR","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33941.752","32284.268","27880.201","26318.059","27737.188","31558.202","30953.147","31994.575","32658.302","33102.009","33703.397","35078.522","38045.125","38804.194","39511.925","39742.946","40524.017","33652.059","41569.112","39357.911","38793.193","39145.225","38840.864","","","","","",
"Belize","BLZ","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.001","11.001","7.334","7.334","3.667","","","","","",
"Bermuda","BMU","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
